tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim,toi_created,rowupdate
CP,04h20m57.19s,65.238307,-68d06m09.68s,-68.102688,22.028,0.039,-0.039,0.0,-10.401,0.043,-0.043,0.0,2458355.648726,0.005979,-0.005979,0,84.2607645,0.0008756,-0.0008756,0,10.925059,0.4659072,-0.4659072,0,440.1660616,21.959137,-21.959137,0,3.4359102,0.2032539,-0.2032539,0,17.3744666,,,,520.7120401,,,,8.9387,0.006,-0.006,0,139.611,0.428,-0.428,0,6321.0,196.0,-196.0,0,4.22436,0.295755,-0.295755,0,1.41189,0.0640704,-0.0640704,0,2019-06-06 20:53:59,2024-02-13 10:08:02
CP,04h20m57.19s,65.238307,-68d06m09.68s,-68.102688,22.028,0.039,-0.039,0.0,-10.401,0.043,-0.043,0.0,2460176.09556,0.006424,-0.006424,0,22.8909855,0.000134,-0.000134,0,2.465657,0.2757411,-0.2757411,0,253.4100012,18.218567,-18.218567,0,2.5594629,0.344795,-0.344795,0,98.7475477,,,,803.9912632,,,,8.9387,0.006,-0.006,0,139.611,0.428,-0.428,0,6321.0,196.0,-196.0,0,4.22436,0.295755,-0.295755,0,1.41189,0.0640704,-0.0640704,0,2021-10-21 22:15:40,2023-11-16 16:02:02
FP,07h42m30.95s,115.628942,-53d02m13.8s,-53.037166,-0.706,0.075,-0.075,0.0,6.575,0.077,-0.077,0.0,2459990.605838,0.002832,-0.002832,0,4.6141256,1.78e-05,-1.78e-05,0,1.566,0.14,-0.14,0,4920.0,9.85912,-9.85912,0,10.7957,0.702862,-0.702862,0,167.033,,,,1001.0,,,,12.9858,0.006,-0.006,0,844.26,25.901,-25.901,0,6888.0,135.2,-135.2,0,4.37,0.09,-0.09,0,1.33,0.07,-0.07,0,2021-06-04 00:47:25,2024-08-22 10:08:01
FP,07h35m55.54s,113.981399,-30d44m55.22s,-30.748672,-10.464,0.038,-0.038,0.0,7.461,0.047,-0.047,0.0,2459963.68315,0.001454,-0.001454,0,1.1468708,0.0001179,-0.0001179,0,1.3965477,0.1026087,-0.1026087,0,2762.6275979,157.18568,-157.18568,0,11.7343018,0.7581705,-0.7581705,0,12604.1379184,,,,2702.390069,,,,11.6079,0.013,-0.013,0,721.776,14.023,-14.023,0,6755.0,146.3,-146.3,0,4.0,0.09,-0.09,0,1.99145,0.0893543,-0.0893543,0,2021-06-04 00:47:26,2024-09-06 10:08:02
APC,08h17m23.23s,124.346776,-17d29m37.51s,-17.493754,-28.0,4.5,-4.5,0.0,-8.2,4.7,-4.7,0.0,2459251.243306,0.003971,-0.003971,0,4.2555436,2.84e-05,-2.84e-05,0,5.058,0.46,-0.46,0,2410.0,2.1524,-2.1524,0,8.01392,,,0,2367.92,,,,,,,,11.8365,0.007,-0.007,0,566.013,,,0,6053.1,593.2,-593.2,0,4.17,1.77,-1.77,0,1.68,,,0,2021-06-04 00:47:26,2024-08-22 10:08:01
FP,07h13m59.28s,108.496989,-34d56m22.3s,-34.939529,9.386,0.025,-0.025,0.0,-25.467,0.03,-0.03,0.0,2459252.308895,0.000458,-0.000458,0,2.9646096,2.7e-06,-2.7e-06,0,2.232,0.055,-0.055,0,27860.0,3.79356,-3.79356,0,15.291,,,0,241.662,,,,1098.0,,,,13.1057,0.006,-0.006,0,404.202,2.6105,-2.6105,0,5306.0,124.0,-124.0,0,4.51,,,0,0.88,,,0,2021-06-04 00:47:27,2024-08-22 10:08:01
APC,06h52m00.33s,103.00138,-49d33m42.06s,-49.561684,-4.442,3.116,-3.116,0.0,4.646,3.117,-3.117,0.0,2459963.650509,0.001175,-0.001175,0,0.8602467,7.23e-05,-7.23e-05,0,1.5314093,0.0927094,-0.0927094,0,14559.4590959,787.4255,-787.4255,0,,,,0,3188.0516635,,,,1916.4658605,,,,13.5012,0.006,-0.006,0,,,,0,4841.5,202.0,-202.0,0,,,,0,,,,0,2021-06-04 00:47:27,2024-09-06 10:08:02
FP,07h06m27.96s,106.616499,-18d48m29.12s,-18.80809,8.905,0.03,-0.03,0.0,-11.834,0.033,-0.033,0.0,2459223.264644,0.003412,-0.003412,0,5.4521068,3.42e-05,-3.42e-05,0,4.702,0.746,-0.746,0,8170.0,10.5157,-10.5157,0,15.3694,0.977517,-0.977517,0,1153.14,,,,1623.0,,,,12.9,0.019,-0.019,0,821.496,14.139,-14.139,0,5878.0,175.0,-175.0,0,4.03,0.08,-0.08,0,1.64,0.08,-0.08,0,2021-06-04 00:47:27,2024-08-22 10:08:01
FP,08h15m00.83s,123.753462,-36d14m53.08s,-36.248077,-7.352,0.024,-0.024,0.0,-4.06,0.029,-0.029,0.0,2459252.298703,0.002305,-0.002305,0,0.879268,3.4e-06,-3.4e-06,0,1.529,0.272,-0.272,0,4550.0,9.8167,-9.8167,0,11.9007,0.795968,-0.795968,0,3494.7,,,,2142.0,,,,12.9604,0.006,-0.006,0,888.752,12.1415,-12.1415,0,6259.0,131.2,-131.2,0,4.06,0.08,-0.08,0,1.7,0.08,-0.08,0,2021-06-04 00:47:27,2024-08-22 10:08:01
FP,05h37m01.05s,84.254356,-66d47m27.07s,-66.790853,-16.639,0.075,-0.075,0.0,133.172,0.067,-0.067,0.0,2460206.239013,0.00293,-0.00293,0,1.3090665,3.6e-06,-3.6e-06,0,2.844,0.728,-0.728,0,209.0,14.376,-14.376,0,0.97952,0.0901436,-0.0901436,0,2194.21,,,,1906.0,,,,9.2927,0.006,-0.006,0,52.1472,0.0699,-0.0699,0,4779.8,128.6,-128.6,0,4.57,0.32,-0.32,0,0.78,0.06,-0.06,0,2019-01-16 19:24:28,2024-09-18 10:08:02
