flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
11293.335,5.6435714,0,0.0010926874,963.4323183568672,845.9208863129129,1137,8893.044,4.432946,662.7079,0.40780273,11293.335,5.6435714,0,,,,,963.4323183568672,0.000770934,845.9208863129129,0.0008200936,-0.009455354,-0.012634655
11294.825,5.6429987,0,0.0010934103,963.4338991767838,845.9192640796458,1138,8894.577,4.433234,654.5948,0.40817872,11294.825,5.6429987,0,,,,,963.4338991767838,0.0007699373,845.9192640796458,0.0008187377,-0.009602196,-0.013109369
11297.147,5.6505065,0,0.0010941332,963.4345749694039,845.9202407611072,1139,8896.396,4.433174,661.108,0.4072333,11297.147,5.6505065,0,,,,,963.4345749694039,0.00076973153,845.9202407611072,0.00081875763,-0.009452761,-0.012822853
11292.984,5.6448054,0,0.0010948561,963.4329534176075,845.9205437608417,1140,8892.213,4.4330487,646.5462,0.407509,11292.984,5.6448054,0,,,,,963.4329534176075,0.0007707779,845.9205437608417,0.0008198665,-0.009365359,-0.0125951925
11295.312,5.6406126,0,0.0010955789,963.4335127729859,845.9199597011218,1141,8894.4,4.4333367,650.324,0.40759844,11295.312,5.6406126,0,,,,,963.4335127729859,0.0007706089,845.9199597011218,0.00081959076,-0.009558479,-0.012788396
11292.134,5.6474047,0,0.0010963017,963.4347556527275,845.9206723956218,1142,8891.484,4.432952,651.4408,0.40771833,11292.134,5.6474047,0,,,,,963.4347556527275,0.0007695723,845.9206723956218,0.00081868534,-0.009087641,-0.012315908
11295.786,5.648185,0,0.0010970244,963.433767300935,845.9212960018901,1143,8894.593,4.433353,647.27795,0.40776575,11295.786,5.648185,0,,,,,963.433767300935,0.00077018817,845.9212960018901,0.00081954314,-0.00924564,-0.012773237
11283.975,5.6464367,0,0.0010977471,963.4334022958228,845.9221286472431,1144,8885.68,4.4325347,652.9819,0.40840062,11283.975,5.6464367,0,,,,,963.4334022958228,0.00077106414,845.9221286472431,0.0008205513,-0.009133816,-0.01232078
11295.285,5.650845,0,0.0010984698,963.4323341770486,845.919803180992,1145,8893.744,4.433155,656.22687,0.40645826,11295.285,5.650845,0,,,,,963.4323341770486,0.0007702362,845.919803180992,0.0008191552,-0.00885553,-0.012499112
11301.147,5.6510534,0,0.0010991924,963.4334737725428,845.9206634196028,1146,8898.046,4.433208,654.3299,0.4068497,11301.147,5.6510534,0,,,,,963.4334737725428,0.00076924503,845.9206634196028,0.000818309,-0.008715973,-0.012321266
11283.414,5.645387,0,0.001099915,963.4334080565609,845.922143130739,1147,8883.808,4.43221,661.9179,0.4075461,11283.414,5.645387,0,,,,,963.4334080565609,0.00077151076,845.922143130739,0.0008210564,-0.009010449,-0.012065394
11286.601,5.6461835,0,0.0011006376,963.4340630816963,845.9199425288309,1148,8886.52,4.4326353,648.2672,0.40752262,11286.601,5.6461835,0,,,,,963.4340630816963,0.00077090994,845.9199425288309,0.00081990997,-0.009214579,-0.012280813
11293.5205,5.6518617,0,0.0011013601,963.4333308224008,845.9209439730987,1149,8892.74,4.433272,657.4406,0.4079436,11293.5205,5.6518617,0,,,,,963.4333308224008,0.0007705524,845.9209439730987,0.0008197068,-0.009177246,-0.012411099
11296.443,5.6482916,0,0.0011020825,963.4333038533376,845.9205769629789,1150,8893.929,4.4330697,647.44745,0.40823117,11296.443,5.6482916,0,,,,,963.4333038533376,0.00076965184,845.9205769629789,0.0008186675,-0.009371544,-0.012182923
11299.083,5.6500797,0,0.001102805,963.4339640964513,845.9216004100117,1151,8895.877,4.433189,646.7191,0.40741602,11299.083,5.6500797,0,,,,,963.4339640964513,0.00077077415,845.9216004100117,0.00082017115,-0.009116059,-0.01206308
11289.658,5.650987,0,0.0011035274,963.4331319995547,845.9215583326137,1152,8888.6,4.432472,653.3956,0.40713155,11289.658,5.650987,0,,,,,963.4331319995547,0.00077100133,845.9215583326137,0.0008204207,-0.009249696,-0.012265785
11283.142,5.6478863,0,0.0011042497,963.4345796819625,845.9218662726867,1153,8884.473,4.432192,648.1476,0.40721944,11283.142,5.6478863,0,,,,,963.4345796819625,0.00077130867,845.9218662726867,0.0008207608,-0.009378792,-0.012316987
11297.39,5.64828,0,0.001104972,963.4322129201662,845.9216279652283,1154,8895.177,4.433102,640.98926,0.40713033,11297.39,5.64828,0,,,,,963.4322129201662,0.0007705912,845.9216279652283,0.00081991433,-0.009334801,-0.012130991
11283.439,5.64745,0,0.0011056942,963.432525694848,845.9201457679007,1155,8883.503,4.4320717,646.0872,0.4073368,11283.439,5.64745,0,,,,,963.432525694848,0.00077150087,845.9201457679007,0.00082053494,-0.009533711,-0.012495833
11277.336,5.650798,0,0.0011064165,963.4323356942231,845.9204896364438,1156,8879.749,4.431825,643.33606,0.40779418,11277.336,5.650798,0,,,,,963.4323356942231,0.00077147374,845.9204896364438,0.0008206109,-0.009299891,-0.012200965
11285.414,5.6471977,0,0.0011071386,963.4333897678838,845.9208353964208,1157,8885.84,4.432405,651.037,0.40742874,11285.414,5.6471977,0,,,,,963.4333897678838,0.0007711437,845.9208353964208,0.000820362,-0.009300998,-0.012349917
11291.393,5.647337,0,0.0011078608,963.432332762617,845.9196026988102,1158,8890.472,4.4326115,640.57,0.40776405,11291.393,5.647337,0,,,,,963.432332762617,0.00077011104,845.9196026988102,0.0008190708,-0.009440621,-0.012463066
11290.815,5.654948,0,0.0011085828,963.4336672307417,845.9220165393039,1159,8888.975,4.4324923,646.0541,0.40658692,11290.815,5.654948,0,,,,,963.4336672307417,0.00077099534,845.9220165393039,0.0008204749,-0.009046355,-0.01199777
11277.319,5.654928,128,0.001109305,963.4337383524017,845.9206905566817,1160,8878.874,4.43183,666.32245,0.40645394,11277.319,5.654928,128,,,,,963.4337383524017,0.0007708918,845.9206905566817,0.0008200729,-0.008751805,-0.011856244
11299.969,5.6559834,0,0.001110027,963.4337758065819,845.9213047541194,1161,8895.873,4.433061,640.9174,0.4064629,11299.969,5.6559834,0,,,,,963.4337758065819,0.0007705913,845.9213047541194,0.00082000345,-0.008923252,-0.011796274
11297.262,5.6519113,0,0.0011107489,963.4334137466556,845.92136166201,1162,8893.957,4.4328375,651.2996,0.4062802,11297.262,5.6519113,0,,,,,963.4334137466556,0.0007705175,845.92136166201,0.0008198192,-0.009326512,-0.012063262
11286.708,5.651862,0,0.0011114707,963.4322744828776,845.9213752588362,1163,8885.39,4.432197,645.70715,0.40687326,11286.708,5.651862,0,,,,,963.4322744828776,0.0007713566,845.9213752588362,0.0008207478,-0.009265218,-0.01232483
11299.182,5.6534443,0,0.0011121926,963.4336139581442,845.9211358215184,1164,8896.581,4.4329247,650.2859,0.40658113,11299.182,5.6534443,0,,,,,963.4336139581442,0.0007704371,845.9211358215184,0.0008196557,-0.009283114,-0.012274153
11291.741,5.6531835,0,0.0011129145,963.4331540185866,845.9204708898573,1165,8889.692,4.4324226,647.22424,0.4070661,11291.741,5.6531835,0,,,,,963.4331540185866,0.0007708114,845.9204708898573,0.0008199264,-0.009434044,-0.012505338
11287.451,5.6575933,0,0.0011136363,963.4336478766219,845.9202242025196,1166,8886.974,4.4323506,650.09937,0.40719298,11287.451,5.6575933,0,,,,,963.4336478766219,0.0007712984,845.9202242025196,0.0008204731,-0.009372229,-0.012417685
11290.669,5.655387,0,0.0011143581,963.4330152975172,845.9196822079207,1167,8889.65,4.432485,656.58765,0.4071266,11290.669,5.655387,0,,,,,963.4330152975172,0.0007705566,845.9196822079207,0.00081948773,-0.00963162,-0.0128243435
11295.429,5.6540146,0,0.0011150797,963.4324111610393,845.9206656913466,1168,8894.441,4.4329815,651.2195,0.40734643,11295.429,5.6540146,0,,,,,963.4324111610393,0.0007704601,845.9206656913466,0.0008195856,-0.009855032,-0.012787698
11282.844,5.657665,0,0.0011158014,963.4313853719435,845.9216794822528,1169,8884.413,4.4320626,653.4311,0.4076322,11282.844,5.657665,0,,,,,963.4313853719435,0.0007709828,845.9216794822528,0.0008203425,-0.009796965,-0.012730853
11303.082,5.657062,0,0.001116523,963.431438789649,845.9191739679934,1170,8900.489,4.4340725,659.47894,0.40700516,11303.082,5.657062,0,,,,,963.431438789649,0.00077035936,845.9191739679934,0.00081918814,-0.009926548,-0.012994947
11297.508,5.6592555,0,0.0011172446,963.4320984782258,845.9202298246175,1171,8896.676,4.432947,659.2118,0.40737313,11297.508,5.6592555,0,,,,,963.4320984782258,0.00076964375,845.9202298246175,0.00081860094,-0.009774311,-0.012744215
11299.901,5.657444,0,0.0011179661,963.4325088509008,845.9192350506502,1172,8897.961,4.433137,657.36096,0.40741193,11299.901,5.657444,0,,,,,963.4325088509008,0.00077061186,845.9192350506502,0.00081953977,-0.010124123,-0.01309505
11298.662,5.6567435,0,0.0011186877,963.4325148319858,845.9199147542365,1173,8898.066,4.4329515,655.52936,0.40712246,11298.662,5.6567435,0,,,,,963.4325148319858,0.0007700954,845.9199147542365,0.00081906916,-0.00987276,-0.013135668
11299.99,5.655924,0,0.0011194091,963.4324286346811,845.919268488108,1174,8897.383,4.4330535,656.619,0.40683404,11299.99,5.655924,0,,,,,963.4324286346811,0.0007705257,845.919268488108,0.00081937504,-0.0097556915,-0.013097247
11306.028,5.657391,0,0.0011201305,963.4325768064962,845.9203426002566,1175,8902.816,4.4336014,648.0436,0.4072803,11306.028,5.657391,0,,,,,963.4325768064962,0.00076973974,845.9203426002566,0.00081877806,-0.00962957,-0.012953033
11288.572,5.6576037,0,0.001120852,963.4324400820285,845.9198742654822,1176,8888.011,4.4322534,660.98834,0.40787113,11288.572,5.6576037,0,,,,,963.4324400820285,0.0007708229,845.9198742654822,0.00081981823,-0.009568064,-0.012628503
11299.607,5.6584764,0,0.0011215733,963.4330812497985,845.9201795014964,1177,8896.709,4.4330096,655.8802,0.40804595,11299.607,5.6584764,0,,,,,963.4330812497985,0.0007706504,845.9201795014964,0.0008196386,-0.009725319,-0.012880478
11301.155,5.6581016,0,0.0011222945,963.4322305225354,845.920190847301,1178,8897.828,4.433194,649.21655,0.4077642,11301.155,5.6581016,0,,,,,963.4322305225354,0.0007706973,845.920190847301,0.0008197637,-0.009475983,-0.012655146
11306.512,5.66062,0,0.0011230158,963.4353065579926,845.9190920983972,1179,8901.142,4.433321,663.4964,0.40784758,11306.512,5.66062,0,,,,,963.4353065579926,0.00076978374,845.9190920983972,0.00081870955,-0.009140945,-0.012393738
11299.975,5.6603,0,0.001123737,963.4329868907382,845.920943378278,1180,8897.489,4.4330235,650.09735,0.40777758,11299.975,5.6603,0,,,,,963.4329868907382,0.0007701171,845.920943378278,0.00081930705,-0.009361189,-0.012638142
11295.744,5.658772,0,0.0011244582,963.4330233359944,845.9199379038369,1181,8893.338,4.4327426,651.5511,0.40796307,11295.744,5.658772,0,,,,,963.4330233359944,0.00077044836,845.9199379038369,0.0008194846,-0.008927881,-0.012518043
11292.024,5.6589274,0,0.0011251792,963.4328707586666,845.9213754106137,1182,8890.06,4.432356,647.3773,0.40745512,11292.024,5.6589274,0,,,,,963.4328707586666,0.00077027903,845.9213754106137,0.0008195514,-0.008836079,-0.012233245
11278.413,5.6611614,0,0.0011259003,963.4339787856655,845.9200484004823,1183,8879.663,4.4314346,646.9196,0.40713802,11278.413,5.6611614,0,,,,,963.4339787856655,0.00077061605,845.9200484004823,0.0008197131,-0.008741119,-0.012312594
11280.365,5.661492,0,0.0011266213,963.4349469349394,845.919987810887,1184,8880.92,4.431756,649.46423,0.40790096,11280.365,5.661492,0,,,,,963.4349469349394,0.00077088206,845.919987810887,0.00082002924,-0.0085466225,-0.0125685455
11271.388,5.6609745,0,0.0011273422,963.4321179950282,845.9206940342212,1185,8873.547,4.4310884,648.2483,0.40798712,11271.388,5.6609745,0,,,,,963.4321179950282,0.0007714805,845.9206940342212,0.000820638,-0.008719667,-0.012156737
11274.007,5.658468,0,0.0011280632,963.4323784920953,845.9215995901195,1186,8874.91,4.431263,644.27094,0.40837395,11274.007,5.658468,0,,,,,963.4323784920953,0.0007703956,845.9215995901195,0.00081980805,-0.008907279,-0.011777911
11273.023,5.6592536,0,0.0011287841,963.4345664184805,845.920048823747,1187,8874.709,4.431092,652.1969,0.40734243,11273.023,5.6592536,0,,,,,963.4345664184805,0.00077120145,845.920048823747,0.0008204077,-0.008698689,-0.012108605
11272.821,5.660566,0,0.001129505,963.4330698812802,845.9204445426897,1188,8874.818,4.4310794,651.0014,0.40773013,11272.821,5.660566,0,,,,,963.4330698812802,0.0007712623,845.9204445426897,0.0008204362,-0.008730639,-0.012489517
11277.866,5.6606336,0,0.0011302257,963.4321217626697,845.9216706996515,1189,8878.039,4.4315257,647.2659,0.4081341,11277.866,5.6606336,0,,,,,963.4321217626697,0.0007718362,845.9216706996515,0.0008213226,-0.00862089,-0.012121201
11276.966,5.660165,0,0.0011309464,963.4347794557614,845.9207312344865,1190,8877.897,4.4312572,642.8549,0.40771315,11276.966,5.660165,0,,,,,963.4347794557614,0.0007709222,845.9207312344865,0.00082010863,-0.008456326,-0.012254176
11276.45,5.6587744,0,0.0011316672,963.4322035756186,845.9204485958531,1191,8877.265,4.431412,644.06274,0.4080188,11276.45,5.6587744,0,,,,,963.4322035756186,0.0007709717,845.9204485958531,0.00082008704,-0.008698281,-0.012292104
11266.409,5.660299,0,0.0011323879,963.4329641325979,845.9207635416699,1192,8870.113,4.430978,646.23755,0.4080962,11266.409,5.660299,0,,,,,963.4329641325979,0.0007719104,845.9207635416699,0.00082121626,-0.008558587,-0.012382227
11271.36,5.660204,0,0.0011331085,963.4321469886506,845.9218305829172,1193,8872.412,4.431056,654.3159,0.40847668,11271.36,5.660204,0,,,,,963.4321469886506,0.00077174423,845.9218305829172,0.0008212503,-0.008603841,-0.012007877
11264.453,5.6595907,0,0.0011338291,963.4316195877134,845.9230013835479,1194,8866.064,4.4306364,645.0562,0.40804008,11264.453,5.6595907,0,,,,,963.4316195877134,0.00077274325,845.9230013835479,0.0008224978,-0.008459642,-0.011906499
11268.005,5.662046,0,0.0011345496,963.4337445162392,845.9208882475872,1195,8868.911,4.4309726,649.176,0.40804386,11268.005,5.662046,0,,,,,963.4337445162392,0.0007719067,845.9208882475872,0.00082127587,-0.007891209,-0.011728961
11270.1455,5.659943,0,0.0011352701,963.4321685747357,845.9222541654001,1196,8870.512,4.4311066,646.7506,0.40786862,11270.1455,5.659943,0,,,,,963.4321685747357,0.0007726015,845.9222541654001,0.0008222707,-0.007742486,-0.011903759
11279.891,5.6604824,0,0.0011359905,963.4336570806822,845.9209666504685,1197,8878.59,4.431639,653.361,0.40798408,11279.891,5.6604824,0,,,,,963.4336570806822,0.0007712392,845.9209666504685,0.0008205149,-0.0077450816,-0.012016369
11259.183,5.6600523,0,0.001136711,963.4332908691996,845.9213104781982,1198,8862.129,4.4304957,642.48987,0.40829304,11259.183,5.6600523,0,,,,,963.4332908691996,0.0007727325,845.9213104781982,0.00082219124,-0.0080722,-0.012315441
11269.983,5.6614194,0,0.0011374312,963.4335341942383,845.9209302412424,1199,8871.308,4.4311843,655.1644,0.40807724,11269.983,5.6614194,0,,,,,963.4335341942383,0.00077253446,845.9209302412424,0.00082195224,-0.007968406,-0.012019299
11270.925,5.6606455,0,0.0011381516,963.4321301586278,845.9211111501211,1200,8871.93,4.4312024,649.21094,0.40797487,11270.925,5.6606455,0,,,,,963.4321301586278,0.0007723738,845.9211111501211,0.0008217542,-0.008204042,-0.012171909
11271.982,5.659296,0,0.0011388719,963.4346243291748,845.9219241803553,1201,8872.231,4.4313993,649.0355,0.40849745,11271.982,5.659296,0,,,,,963.4346243291748,0.00077234925,845.9219241803553,0.0008220315,-0.007938284,-0.012199398
11275.749,5.6605306,8192,0.0011395921,963.4328983322638,845.9206691713078,1202,8875.316,4.431402,643.1211,0.4076663,11275.749,5.6605306,8192,,,,,963.4328983322638,0.00077206205,845.9206691713078,0.00082144374,-0.008184581,-0.012254226
11278.681,5.6628804,0,0.0011403123,963.4332849850636,845.9200912394094,1203,8877.153,4.4315705,649.5583,0.40752095,11278.681,5.6628804,0,,,,,963.4332849850636,0.00077203126,845.9200912394094,0.0008212339,-0.008058959,-0.011990535
11278.422,5.6631093,128,0.0011410324,963.4332799728992,845.9212916662159,1204,8877.05,4.4322824,649.635,0.40726006,11278.422,5.6631093,128,,,,,963.4332799728992,0.0007717806,845.9212916662159,0.0008213265,-0.007880212,-0.011919187
11274.223,5.661752,0,0.0011417525,963.432338796058,845.9209363003972,1205,8874.106,4.4315495,650.52057,0.40870848,11274.223,5.661752,0,,,,,963.432338796058,0.000772704,845.9209363003972,0.0008221009,-0.008233347,-0.012244966
11267.627,5.659652,0,0.0011424725,963.4335708801043,845.9217607012838,1206,8868.82,4.430901,647.11127,0.4078407,11267.627,5.659652,0,,,,,963.4335708801043,0.00077288225,845.9217607012838,0.0008224392,-0.008085343,-0.01228746
11268.158,5.6636043,0,0.0011431925,963.4331751174091,845.9221922848103,1207,8869.221,4.431073,651.47266,0.40842032,11268.158,5.6636043,0,,,,,963.4331751174091,0.0007729952,845.9221922848103,0.00082274375,-0.007867083,-0.012122423
11270.369,5.661312,0,0.0011439124,963.431837527947,845.9209543236832,1208,8869.784,4.4309154,652.4481,0.408428,11270.369,5.661312,0,,,,,963.431837527947,0.0007719568,845.9209543236832,0.0008212548,-0.008030584,-0.011923227
11263.73,5.66099,0,0.0011446323,963.4334604439701,845.9220579255259,1209,8865.43,4.430549,650.2988,0.4079579,11263.73,5.66099,0,,,,,963.4334604439701,0.0007724205,845.9220579255259,0.00082210894,-0.008071946,-0.011863869
11280.126,5.6628356,0,0.0011453521,963.4325886278825,845.9219142621845,1210,8877.85,4.4318357,645.66534,0.40852618,11280.126,5.6628356,0,,,,,963.4325886278825,0.0007724131,845.9219142621845,0.0008219853,-0.008278219,-0.011993207
11273.016,5.6613293,0,0.001146072,963.4343852189538,845.9213429595451,1211,8871.86,4.4312263,649.7957,0.40820768,11273.016,5.6613293,0,,,,,963.4343852189538,0.0007719328,845.9213429595451,0.00082143594,-0.00792804,-0.0119596785
11268.936,5.661229,0,0.0011467917,963.4331330793252,845.9211962308691,1212,8868.511,4.430834,644.9008,0.4077142,11268.936,5.661229,0,,,,,963.4331330793252,0.0007728384,845.9211962308691,0.0008223024,-0.007692224,-0.011732514
11267.374,5.6606917,0,0.0011475115,963.4330828895088,845.9213230815271,1213,8867.068,4.4308267,646.368,0.40803564,11267.374,5.6606917,0,,,,,963.4330828895088,0.00077303377,845.9213230815271,0.00082259846,-0.008005437,-0.011710207
11274.592,5.6623564,0,0.0011482312,963.4342141010686,845.9219237581469,1214,8873.368,4.431436,649.46985,0.40808406,11274.592,5.6623564,0,,,,,963.4342141010686,0.00077242265,845.9219237581469,0.00082209206,-0.007999108,-0.011784985
11275.957,5.6598606,0,0.0011489508,963.434861615631,845.9211966456387,1215,8873.463,4.431318,646.0719,0.40756315,11275.957,5.6598606,0,,,,,963.434861615631,0.00077208615,845.9211966456387,0.0008215084,-0.007913557,-0.011698687
11269.797,5.663213,0,0.0011496703,963.4334009275206,845.9218921316675,1216,8868.243,4.4307623,644.8735,0.4081278,11269.797,5.663213,0,,,,,963.4334009275206,0.0007718918,845.9218921316675,0.00082149706,-0.007364026,-0.011030592
