koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err2,koi_impact,koi_duration,koi_depth,koi_depth_err2,koi_model_snr,koi_srad,koi_srad_err2,dec
CONFIRMED,0.989,0,0,0,0,60.4189369,-0.0005043,0.094,5.039,931.3,-49.6,20.1,0.788,-0.066,51.319519
CONFIRMED,1.0,0,0,0,0,12.611904345,-6.65e-06,0.55,5.1497,6105.6,-27.6,277.2,0.919,-0.091,51.737381
FALSE POSITIVE,0.0,0,1,0,0,1.433769925,-7.41e-07,1.268,1.8868,1976.3,-20.4,112.6,1.339,-0.23,37.728828
FALSE POSITIVE,0.0,0,1,1,0,10.31872301,-2.846e-05,1.215,3.836,871.7,-26.4,38.2,1.06,-0.137,37.713501
CONFIRMED,1.0,0,0,0,0,2.539183147,-5.073e-06,0.238,2.4282,382.1,-11.4,38.9,1.062,-0.14,37.905659
CONFIRMED,1.0,0,0,0,0,6.770300385,-9.537e-06,0.838,2.0844,1304.0,-29.7,50.8,0.679,-0.037,38.273628
FALSE POSITIVE,0.0,0,1,1,1,0.444291966,-9.7e-08,1.258,2.0792,10967.0,-45.9,299.7,0.636,-0.04,38.28492
CONFIRMED,1.0,0,0,0,0,20.06036336,-5.839e-05,0.556,3.3203,1494.7,-45.1,35.2,0.493,-0.04,39.27832
CONFIRMED,1.0,0,0,0,0,46.1842039,-0.0002654,0.013,4.758,1394.7,-56.4,26.0,0.493,-0.04,39.27832
CONFIRMED,0.952,0,0,0,0,23.9800854,-0.0002003,0.95,5.351,104.0,-6.5,17.1,1.012,-0.103,44.337551
CONFIRMED,0.994,0,0,0,0,7.82502168,-3.89e-05,0.708,2.186,520.8,-36.4,15.9,0.493,-0.04,39.27832
CONFIRMED,1.0,0,0,0,0,3.895936525,-7.71e-07,0.524,2.3111,8544.8,-29.5,370.8,0.774,-0.069,39.308361
CONFIRMED,0.999,0,0,0,0,22.36646466,-9.761e-05,0.4,5.228,986.8,-35.1,32.1,0.734,-0.052,39.52174
CONFIRMED,1.0,0,0,0,0,1.625522174,-1.58e-07,0.076,2.38963,7969.0,-11.8,799.7,1.106,-0.161,38.422939
FALSE POSITIVE,0.0,1,0,1,0,7.544039,-0.0001023,1.175,6.222,322.6,-28.2,14.2,0.824,-0.078,38.601101
CONFIRMED,1.0,0,0,0,0,9.02930689,-1.648e-05,0.024,3.1449,1019.8,-21.9,53.9,0.82,-0.082,38.72823
FALSE POSITIVE,0.053,0,1,0,0,10.328035714,-3.762e-06,0.281,7.7915,16918.0,-31.8,636.8,1.024,-0.186,38.886452
CONFIRMED,1.0,0,0,0,0,143.2063047,-0.0002348,0.379,8.9302,10566.0,-82.4,138.8,0.867,-0.037,38.947281
CONFIRMED,0.95,0,0,0,0,6.164876,-4.635e-05,0.646,3.262,55.8,-4.3,14.4,1.012,-0.103,44.337551
CONFIRMED,0.745,0,0,0,0,60.32494216,-3.207e-05,0.224,6.6188,20280.0,-64.0,347.2,0.867,-0.037,38.947281
CONFIRMED,,0,0,0,0,29.1598615,-0.0002534,0.3619,4.803,488.0,-43.5,11.6,0.867,-0.034,38.947281
FALSE POSITIVE,0.0,0,0,1,1,1.540397253,-2.702e-06,1.225,2.1541,816.1,-25.7,38.8,0.915,-0.083,38.921631
FALSE POSITIVE,0.0,0,0,1,1,2.99025443,-1.168e-05,0.014,5.414,589.2,-14.1,48.5,0.731,-0.063,38.92955
CONFIRMED,1.0,0,0,0,0,1.594745374,-1.13e-07,0.514,1.9604,15044.0,-20.3,1009.3,0.893,-0.105,39.027481
CONFIRMED,1.0,0,0,0,0,4.783002698,-5.432e-06,0.003,2.335,1008.7,-16.6,70.6,0.807,-0.06,39.060719
CONFIRMED,1.0,0,0,0,0,20.50588921,-3.206e-05,0.26,4.0595,2105.5,-31.0,78.5,0.761,-0.07,39.153278
CONFIRMED,1.0,0,0,0,0,3.340218842,-3.177e-06,0.466,1.9104,1632.6,-26.6,71.6,0.493,-0.04,39.27832
FALSE POSITIVE,0.0,0,1,1,0,2.507089906,-2.401e-06,1.255,2.0067,1339.2,-24.7,64.9,0.939,-0.099,40.493401
CONFIRMED,1.0,0,0,0,0,18.64932728,-5.202e-05,0.08,4.4056,893.6,-20.9,46.1,1.053,-0.094,40.562462
CONFIRMED,1.0,0,0,0,0,4.90144976,-1.07e-05,0.529,4.1654,140.7,-2.9,50.6,1.402,-0.046,48.208611
CONFIRMED,0.998,0,0,0,0,9.75192101,-4.829e-05,0.949,4.793,418.0,-16.2,28.5,1.053,-0.094,40.562462
CONFIRMED,1.0,0,0,0,0,38.5576546,-0.0001765,0.911,5.794,993.0,-26.8,39.7,1.053,-0.094,40.562462
CONFIRMED,0.99,0,0,0,0,3.525632539,-1.5e-07,0.12,2.59959,22335.0,-13.1,1996.7,0.793,-0.033,40.5774
CONFIRMED,1.0,0,0,0,0,7.748094239,-7.553e-06,0.517,3.5957,2472.1,-25.7,113.2,1.085,-0.111,39.771439
CONFIRMED,1.0,0,0,0,0,23.96793669,-9.249e-05,0.416,3.827,1182.3,-46.1,27.5,0.524,-0.044,39.898079
CONFIRMED,0.995,0,0,0,0,8.29561738,-2.368e-05,0.888,1.3421,824.3,-57.5,17.9,0.524,-0.044,39.898079
CONFIRMED,1.0,0,0,0,0,8.11437482,-1.092e-05,0.573,2.2736,1558.0,-32.0,56.4,0.517,-0.039,40.033401
FALSE POSITIVE,0.0,0,1,0,0,38.036729482,-3.484e-06,0.501,4.34617,82872.0,-83.3,1300.0,0.932,-0.077,40.055538
FALSE POSITIVE,0.0,0,1,1,1,3.747838198,-3.896e-06,1.121,5.0642,616.0,-5.3,138.2,0.826,-0.063,50.265129
CONFIRMED,0.992,0,0,0,0,14.74914825,-2.174e-05,0.173,6.0995,430.2,-4.2,107.4,1.402,-0.046,48.208611
CONFIRMED,1.0,0,0,0,0,21.81295996,-7.229e-05,0.053,4.3791,1175.4,-35.8,37.8,0.999,-0.145,40.15374
FALSE POSITIVE,0.0,0,1,0,0,7.91936937,-2.04e-06,0.733,3.3148,15148.0,-49.8,389.0,0.776,-0.065,40.217999
