tfopwg_disp,ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
FP,157.098337,-51.705409,30.65,0.054,-0.054,0.0,-33.906,0.056,-0.056,0.0,2458544.48066,0.00412,-0.00412,0,1.01606,0.00034,-0.00034,0,2.843,0.278,-0.278,0,240.0,0.375709,-0.375709,0,1.20704,0.0989898,-0.0989898,0,2784.04,2023.0,7.9059,0.006,-0.006,0,23.7748,0.02025,-0.02025,0,4634.0,120.9,-120.9,0,4.64,0.09,-0.09,0,0.68,0.05,-0.05,0
FP,88.73909,-65.958839,,,,,,,,,2458365.89313,0.00096,-0.00096,0,36.22214,0.00046,-0.00046,0,5.107,0.188,-0.188,0,7170.0,228.173,-228.173,0,,,,0,,,6.841,0.0,0.0,0,,,,0,,,,0,,,,0,,,,0
KP,312.457488,-24.428694,10.426,0.07,-0.07,0.0,15.62,0.051,-0.051,0.0,2458327.25256,0.000586,-0.000586,0,3.547854,0.000149,-0.000149,0,3.494333,0.049205,-0.049205,0,10424.3718,123.359314,-123.359314,0,14.581841,0.196435,-0.196435,0,1212.004376,1504.858953,11.5232,0.008,-0.008,0,411.211,7.752,-7.752,0,6351.0,,,0,4.22896,,,0,1.4,,,0
FP,155.831478,-57.590248,-26.184,2.184,-2.184,0.0,22.489,1.073,-1.073,0.0,2460054.783937,0.000628,-0.000628,0,12.1246519,1.03e-05,-1.03e-05,0,4.612,0.667,-0.667,0,7279.0,6484.95,-6484.95,0,17.6729,2.59688,-2.59688,0,207.32,1057.0,9.5706,0.006,-0.006,0,78.41273,2.83992,-2.83992,0,4807.6,60.0,-60.0,0,4.17,0.36,-0.36,0,1.07,0.03,-0.03,0
FP,140.88389,-67.026006,-23.901,0.042,-0.042,0.0,3.03,0.047,-0.047,0.0,2459304.837939,0.002852,-0.002852,0,5.652623,2.54e-05,-2.54e-05,0,3.434,0.475,-0.475,0,1250.0,26.0133,-26.0133,0,8.94354,1.13988,-1.13988,0,2717.06,2011.0,9.7318,0.006,-0.006,0,270.771,1.6275,-1.6275,0,6415.4,103.2,-103.2,0,3.98,0.08,-0.08,0,1.92,0.08,-0.08,0
FP,87.282586,-60.498444,8.9,3.1,-3.1,0.0,20.7,2.2,-2.2,0.0,2460195.100648,0.002821,-0.002821,0,29.0160175,6.47e-05,-6.47e-05,0,5.345,0.314,-0.314,0,1389.0,36.0326,-36.0326,0,6.77406,,,0,33.2234,,10.0163,0.006,-0.006,0,219.94,,,0,6113.1,,,0,,,,0,2.01,,,0
FP,134.441752,-49.000578,-4.837,0.063,-0.063,0.0,4.109,0.062,-0.062,0.0,2460768.617427,0.002617,-0.002617,0,3.6404389,8.2e-06,-8.2e-06,0,2.5339234,0.5744699,-0.5744699,0,476.3077321,35.1115139,-35.1115139,0,3.7025342,0.1738907,-0.1738907,0,9941.2265514,2783.098027,9.8174,0.006,-0.006,0,363.44,4.983,-4.983,0,9810.0,173.7,-173.7,0,4.43,0.06,-0.06,0,1.60776,0.0427739,-0.0427739,0
FP,147.385172,-63.306478,-19.687,0.07,-0.07,0.0,10.953,0.068,-0.068,0.0,2459331.124512,0.003174,-0.003174,0,1.2025238,6.7e-06,-6.7e-06,0,1.991,0.052,-0.052,0,390.0,107.57,-107.57,0,6.31106,1.99504,-1.99504,0,208477.0,5952.0,9.0211,0.006,-0.006,0,279.698,3.279,-3.279,0,9158.0,171.4,-171.4,0,4.32,0.07,-0.07,0,1.74,0.05,-0.05,0
FP,128.454638,-49.940347,-15.5,1.6,-1.6,0.0,7.0,1.5,-1.5,0.0,2459273.371643,0.002025,-0.002025,0,3.2235985,1.38e-05,-1.38e-05,0,2.159,0.452,-0.452,0,680.0,1.13,-1.13,0,5.51341,,,0,2064.8,,8.7157,0.006,-0.006,0,280.765,,,0,8904.0,239.9,-239.9,0,4.09,1.36,-1.36,0,2.17,,,0
KP,319.949697,-58.148933,10.552,0.045,-0.045,0.0,-10.658,0.043,-0.043,0.0,2460150.608677,0.000682,-0.000682,0,4.0872956,2.3e-06,-2.3e-06,0,5.586113,0.0508755,-0.0508755,0,3572.1712499,35.689426,-35.689426,0,13.6237732,0.6518233,-0.6518233,0,2242.3605401,1755.0767383,9.8638,0.006,-0.006,0,316.678,2.9655,-2.9655,0,6036.0,,,0,3.93359,,,0,2.2186699,0.102573,-0.102573,0
FP,128.61421,-61.488262,-11.78,0.118,-0.118,0.0,6.725,0.097,-0.097,0.0,2458520.65674,0.00497,-0.00497,0,2.55555,0.00045,-0.00045,0,1.566,0.375,-0.375,0,340.0,1.37224,-1.37224,0,11.5901,,,0,3520.68,2145.0,8.3854,0.007,-0.007,0,732.432,32.449,-32.449,0,10037.0,123.0,-123.0,0,,,,0,6.04,,,0
FP,138.402252,-55.19791,-14.189,0.065,-0.065,0.0,14.261,0.058,-0.058,0.0,2459261.801216,0.0004,-0.0004,0,8.30792,0.00037,-0.00037,0,3.228,0.089,-0.089,0,8350.0,160.238,-160.238,0,43.1068,4.42399,-4.42399,0,2276.25,1924.0,8.0981,0.006,-0.006,0,305.034,2.981,-2.981,0,9081.0,173.2,-173.2,0,3.83,0.07,-0.07,0,3.05,0.09,-0.09,0
FP,128.302319,-52.714202,-9.496,0.051,-0.051,0.0,14.659,0.045,-0.045,0.0,2459985.770425,0.003745,-0.003745,0,1.4415577,7.4e-06,-7.4e-06,0,2.349,0.682,-0.682,0,507.0,54.9645,-54.9645,0,3.61078,0.26004,-0.26004,0,16861.8,3174.0,9.5719,0.006,-0.006,0,208.055,1.1015,-1.1015,0,6902.0,135.7,-135.7,0,4.25,0.09,-0.09,0,1.52,0.06,-0.06,0
FP,159.887704,-32.51188,-34.609,0.053,-0.053,0.0,14.667,0.057,-0.057,0.0,2459301.544126,0.000611,-0.000611,0,3.7039994,3.7e-06,-3.7e-06,0,4.277,0.599,-0.599,0,7590.0,1.22092,-1.22092,0,17.57,0.746573,-0.746573,0,3546.13,2149.0,9.6306,0.006,-0.006,0,300.696,3.3695,-3.3695,0,7013.8,299.6,-299.6,0,4.21,0.44,-0.44,0,1.9,0.08,-0.08,0
FP,126.419468,-60.907514,-1.536,0.058,-0.058,0.0,-9.979,0.048,-0.048,0.0,2460177.867195,0.001123,-0.001123,0,1.3042553,2e-06,-2e-06,0,1.706,0.213,-0.213,0,914.0,628.954,-628.954,0,9.36472,1.30647,-1.30647,0,26944.7,3569.0,10.0119,0.006,-0.006,0,301.298,2.496,-2.496,0,6762.0,130.2,-130.2,0,4.11,0.08,-0.08,0,1.75,0.07,-0.07,0
FP,144.581535,-67.505097,-35.412,0.104,-0.104,0.0,24.084,0.128,-0.128,0.0,2458544.79061,0.00092,-0.00092,0,0.62627,2e-05,-2e-05,0,0.666,0.169,-0.169,0,1880.0,68.5212,-68.5212,0,5.72162,0.894462,-0.894462,0,3235.57,2101.0,10.2355,0.006,-0.006,0,134.926,1.0555,-1.0555,0,5622.0,131.2,-131.2,0,4.5,0.07,-0.07,0,0.93,0.05,-0.05,0
FP,136.527702,-54.903922,-10.863,0.096,-0.096,0.0,7.063,0.089,-0.089,0.0,2458518.376,0.00075,-0.00075,0,0.30412,1e-05,-1e-05,0,0.748,0.1,-0.1,0,1330.0,3.83107,-3.83107,0,10.417,0.668057,-0.668057,0,280833.0,6413.0,8.802,0.006,-0.006,0,440.426,9.484,-9.484,0,11892.0,235.8,-235.8,0,4.14,0.07,-0.07,0,2.52,0.09,-0.09,0
KP,253.768848,-28.710584,-8.568,0.1,-0.1,0.0,-5.562,0.055,-0.055,0.0,2459363.821393,0.000699,-0.000699,0,2.1805277,2.7e-06,-2.7e-06,0,2.969175,0.040721,-0.040721,0,16340.1353205,426.89557,-426.89557,0,16.808853,0.8821375,-0.8821375,0,1770.4650539,1654.404068,11.0657,0.006,-0.006,0,314.995,7.0655,-7.0655,0,6599.0,200.0,-200.0,0,4.21017,1.96411,-1.96411,0,1.2714601,0.0635578,-0.0635578,0
KP,337.457824,-48.003099,91.976,0.052,-0.052,0.0,-6.861,0.069,-0.069,0.0,2459084.58501,0.00011,-0.00011,0,2.1846669,5e-07,-5e-07,0,2.86528,0.0090748,-0.0090748,0,11708.0228549,34.928566,-34.928566,0,13.7028527,0.6619751,-0.6619751,0,1362.1381428,1549.4409801,9.4995,0.006,-0.006,0,137.544,0.7905,-0.7905,0,5630.0,,,0,4.37759,,,0,1.23824,0.0596985,-0.0596985,0
KP,239.962248,-28.061794,-8.1,0.102,-0.102,0.0,-9.639,0.055,-0.055,0.0,2459355.54563,0.000257,-0.000257,0,3.7354838,2.1e-06,-2.1e-06,0,4.142,0.045,-0.045,0,17030.0,0.271732,-0.271732,0,21.2315,1.19579,-1.19579,0,1292.19,1670.0,11.0261,0.006,-0.006,0,405.908,8.6,-8.6,0,6650.0,,,0,4.1639,,,0,1.57,0.09,-0.09,0
FA,40.365939,-71.462749,168.17,2.0,-2.0,0.0,-56.04,2.0,-2.0,0.0,2458657.736625,0.007425,-0.007425,0,21.701669,0.0095323,-0.0095323,0,8.2676424,0.5088978,-0.5088978,0,211.6567325,25.132692,-25.132692,0,2.3751494,0.6983451,-0.6983451,0,52.095,685.2,7.1278,0.006,-0.006,0,53.19149,,,0,5625.0,80.0,-80.0,0,4.438,,,0,1.56486,0.186629,-0.186629,0
CP,337.510274,-75.646561,-63.327,0.046,-0.046,0.0,-1.942,0.044,-0.044,0.0,2458332.941229,0.002642,-0.002642,0,9.139804,0.0001109,-0.0001109,0,3.0912936,0.6627002,-0.6627002,0,358.4157801,33.721474,-33.721474,0,3.0629855,2.8175755,-2.8175755,0,243.011763,1006.9932829,9.0197,0.006,-0.006,0,129.804,0.5575,-0.5575,0,5958.2,76.0,-76.0,0,4.34,0.12,-0.12,0,1.58,0.165123,-0.165123,0
FP,290.977117,-33.351416,-18.692,0.065,-0.065,0.0,-8.192,0.059,-0.059,0.0,2458657.999179,0.001553,-0.001553,0,5.742625,0.000621,-0.000621,0,2.860293,0.230499,-0.230499,0,1105.760867,87.92673,-87.92673,0,13.088532,3.636668,-3.636668,0,,,8.8849,0.006,-0.006,0,263.729,2.8735,-2.8735,0,5664.0,188.0,-188.0,0,3.26574,0.355261,-0.355261,0,3.86959,0.644568,-0.644568,0
CP,302.114174,-54.317501,1.594,0.054,-0.054,0.0,-15.903,0.049,-0.049,0.0,2460122.700139,0.019948,-0.019948,0,15.5077855,0.0002372,-0.0002372,0,4.565,0.427,-0.427,0,513.0,25.4443,-25.4443,0,2.43432,0.142957,-0.142957,0,88.0718,853.0,8.4362,0.006,-0.006,0,88.4343,0.28175,-0.28175,0,6122.0,194.0,-194.0,0,4.30881,0.268555,-0.268555,0,1.17,0.05,-0.05,0
CP,293.286615,-54.532728,108.439,0.074,-0.074,0.0,-82.632,0.052,-0.052,0.0,2458661.062711,0.000867,-0.000867,0,17.4713078,1.76e-05,-1.76e-05,0,4.4284819,0.0990118,-0.0990118,0,1199.7541483,28.872627,-28.872627,0,3.5766828,0.2409907,-0.2409907,0,53.3700317,689.3568807,8.0888,0.006,-0.006,0,57.2651,0.18695,-0.18695,0,5783.54,7.82429,-7.82429,0,4.49925,0.019231,-0.019231,0,0.974669,0.0546984,-0.0546984,0
KP,68.959816,-64.027039,10.845,0.035,-0.035,0.0,-0.499,0.052,-0.052,0.0,2460201.638583,0.000127,-0.000127,0,2.8493825,3e-07,-3e-07,0,3.567,0.053,-0.053,0,8049.0,25.0232,-25.0232,0,16.3869,0.734704,-0.734704,0,2005.83,1864.0,10.3157,0.006,-0.006,0,364.411,2.729,-2.729,0,6900.0,,,0,4.438,,,0,1.77,0.08,-0.08,0
FP,284.688908,-41.242483,24.978,0.089,-0.089,0.0,-71.79,0.091,-0.091,0.0,2458654.253249,0.003078,-0.003078,0,0.540933,0.000107,-0.000107,0,1.674337,0.329757,-0.329757,0,257.347459,27.641214,-27.641214,0,2.28501,0.57323,-0.57323,0,,,9.7345,0.006,-0.006,0,133.171,0.6935,-0.6935,0,5525.0,186.0,-186.0,0,4.25342,0.29667,-0.29667,0,1.21935,0.16458,-0.16458,0
CP,38.120968,-78.023683,107.847,0.045,-0.045,0.0,30.732,0.042,-0.042,0.0,2460177.200429,0.001332,-0.001332,0,4.1150576,5.6e-06,-5.6e-06,0,1.08,0.323,-0.323,0,487.0,50.8548,-50.8548,0,2.30057,0.16833,-0.16833,0,77.3573,826.0,9.478,0.006,-0.006,0,82.1733,0.1632,-0.1632,0,5394.0,185.0,-185.0,0,4.50942,0.276077,-0.276077,0,0.89,0.05,-0.05,0
CP,296.003935,-47.56203,-3.457,0.124,-0.124,0.0,-100.891,0.072,-0.072,0.0,2458656.668478,0.001185,-0.001185,0,6.4438657,1.65e-05,-1.65e-05,0,1.9309449,0.3014965,-0.3014965,0,1121.9512275,76.157646,-76.157646,0,2.460344,1.638728,-1.638728,0,60.831305,712.2812841,10.0059,0.006,-0.006,0,68.0726,0.362,-0.362,0,4803.0,178.0,-178.0,0,4.52079,2.00348,-2.00348,0,0.737189,0.0567035,-0.0567035,0
CP,296.003935,-47.56203,-3.457,0.124,-0.124,0.0,-100.891,0.072,-0.072,0.0,2458664.490132,0.001696,-0.001696,0,12.2265595,2.69e-05,-2.69e-05,0,2.1904379,0.4219775,-0.4219775,0,1206.3693293,86.60944,-86.60944,0,2.6014766,1.7533404,-1.7533404,0,25.8970378,575.3502049,10.0059,0.006,-0.006,0,68.0726,0.362,-0.362,0,4803.0,178.0,-178.0,0,4.52079,2.00348,-2.00348,0,0.737189,0.0567035,-0.0567035,0
KP,286.36675,-50.06735,7.315,0.037,-0.037,0.0,-0.862,0.029,-0.029,0.0,2458654.347994,0.002094,-0.002094,0,2.160344,0.000276,-0.000276,0,1.828854,0.14481,-0.14481,0,19357.992992,1487.6189,-1487.6189,0,22.503541,17.500204,-17.500204,0,,,13.2851,0.006,-0.006,0,639.004,9.4715,-9.4715,0,5780.0,,,0,4.32928,,,0,1.2,,,0
KP,285.096517,-54.893341,3.99,0.054,-0.054,0.0,-37.19,0.042,-0.042,0.0,2458657.832537,0.001239,-0.001239,0,4.606184,0.000392,-0.000392,0,3.121643,0.078877,-0.078877,0,13793.034867,1031.5532,-1031.5532,0,12.962219,0.582183,-0.582183,0,,,11.9707,0.006,-0.006,0,353.891,4.919,-4.919,0,5670.0,,,0,4.3925,,,0,1.07,,,0
KP,288.672005,-59.57935,3.125,0.031,-0.031,0.0,6.146,0.029,-0.029,0.0,2458656.987874,0.000501,-0.000501,0,3.1316735,3.3e-06,-3.3e-06,0,2.4579197,0.0815638,-0.0815638,0,14915.6943722,307.91364,-307.91364,0,9.4995191,0.3442331,-0.3442331,0,148.6544991,890.5622134,13.1686,0.006,-0.006,0,263.609,1.659,-1.659,0,4351.0,167.0,-167.0,0,4.438,,,0,0.76701,,,0
KP,284.399762,-49.138513,11.096,0.044,-0.044,0.0,-5.764,0.042,-0.042,0.0,2458656.633231,0.001251,-0.001251,0,3.180362,0.000247,-0.000247,0,2.111521,0.106258,-0.106258,0,21192.463324,682.47424,-682.47424,0,13.446487,0.600679,-0.600679,0,,,13.2887,0.006,-0.006,0,535.383,7.8145,-7.8145,0,5498.0,,,0,4.47934,,,0,0.92,,,0
KP,289.479212,-32.860124,-16.778,0.108,-0.108,0.0,-31.803,0.089,-0.089,0.0,2460147.378764,0.000256,-0.000256,0,2.9776446,8e-07,-8e-07,0,2.962,0.099,-0.099,0,13022.0,123.052,-123.052,0,14.4339,0.765765,-0.765765,0,758.324,1461.0,10.4293,0.006,-0.006,0,197.996,3.038,-3.038,0,5703.0,188.0,-188.0,0,4.25824,0.298282,-0.298282,0,1.22,0.06,-0.06,0
